project_title,description,category,sensors,actuators,controllers,components
Water Level Indicator,monitor water level in tank variation 201,IoT,Temperature Sensor|Gas Sensor,Valve,ESP8266,Temperature Sensor|Gas Sensor|Valve|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 202,IoT,IR Sensor|Soil Sensor,None,ESP8266,IR Sensor|Soil Sensor|ESP8266
Weather Monitoring,monitor temperature and humidity variation 203,IoT,IR Sensor|Motion Sensor,None,Arduino,IR Sensor|Motion Sensor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 204,Robotics,Motion Sensor,Buzzer,ESP8266,Motion Sensor|Buzzer|ESP8266
Air Quality Monitoring,monitor pollution levels variation 205,IoT,Gas Sensor,Servo Motor,ESP32,Gas Sensor|Servo Motor|ESP32
Smart Security System,detect intruders using sensors variation 206,IoT,Soil Sensor,None,ESP8266,Soil Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 207,IoT,LDR Sensor,None,ESP8266,LDR Sensor|ESP8266
Water Level Indicator,monitor water level in tank variation 208,IoT,Temperature Sensor|Soil Sensor,Valve,ESP8266,Temperature Sensor|Soil Sensor|Valve|ESP8266
Weather Monitoring,monitor temperature and humidity variation 209,IoT,Ultrasonic Sensor,None,ESP32,Ultrasonic Sensor|ESP32
Home Automation,control home devices using wifi variation 210,IoT,Flame Sensor|Humidity Sensor,None,Arduino,Flame Sensor|Humidity Sensor|Arduino
Smart Lighting,automatic lighting control variation 211,IoT,Gas Sensor|Ultrasonic Sensor,Servo Motor,ESP8266,Gas Sensor|Ultrasonic Sensor|Servo Motor|ESP8266
Smart Parking,detect parking availability variation 212,IoT,Gas Sensor,None,Arduino,Gas Sensor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 213,Robotics,Temperature Sensor,None,Arduino,Temperature Sensor|Arduino
Line Following Robot,robot follows path using IR sensors variation 214,Robotics,Temperature Sensor,None,ESP8266,Temperature Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 215,Robotics,Gas Sensor|Soil Sensor,None,Arduino,Gas Sensor|Soil Sensor|Arduino
Weather Monitoring,monitor temperature and humidity variation 216,IoT,LDR Sensor,None,Arduino,LDR Sensor|Arduino
Smart Irrigation,automatic watering using soil moisture variation 217,IoT,IR Sensor|Humidity Sensor,Buzzer,ESP32,IR Sensor|Humidity Sensor|Buzzer|ESP32
Smart Lighting,automatic lighting control variation 218,IoT,LDR Sensor,None,Arduino,LDR Sensor|Arduino
Smart Irrigation,automatic watering using soil moisture variation 219,IoT,Motion Sensor|Temperature Sensor,None,ESP8266,Motion Sensor|Temperature Sensor|ESP8266
Smart Parking,detect parking availability variation 220,IoT,Ultrasonic Sensor,None,ESP8266,Ultrasonic Sensor|ESP8266
Home Automation,control home devices using wifi variation 221,IoT,LDR Sensor,Buzzer,ESP8266,LDR Sensor|Buzzer|ESP8266
Fire Detection,detect fire using flame sensor variation 222,IoT,LDR Sensor,None,ESP32,LDR Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 223,IoT,Temperature Sensor,Valve,ESP32,Temperature Sensor|Valve|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 224,Robotics,Gas Sensor|Temperature Sensor,None,ESP32,Gas Sensor|Temperature Sensor|ESP32
Smart Security System,detect intruders using sensors variation 225,IoT,Humidity Sensor,None,ESP8266,Humidity Sensor|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 226,Robotics,Humidity Sensor|Ultrasonic Sensor,None,ESP8266,Humidity Sensor|Ultrasonic Sensor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 227,IoT,Ultrasonic Sensor|LDR Sensor,Water Pump,Arduino,Ultrasonic Sensor|LDR Sensor|Water Pump|Arduino
Smart Parking,detect parking availability variation 228,IoT,Humidity Sensor|Soil Sensor,Valve,ESP8266,Humidity Sensor|Soil Sensor|Valve|ESP8266
Water Level Indicator,monitor water level in tank variation 229,IoT,Gas Sensor,Valve,ESP8266,Gas Sensor|Valve|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 230,Robotics,Gas Sensor,Motor Driver,ESP32,Gas Sensor|Motor Driver|ESP32
Air Quality Monitoring,monitor pollution levels variation 231,IoT,Humidity Sensor,Buzzer,ESP32,Humidity Sensor|Buzzer|ESP32
Air Quality Monitoring,monitor pollution levels variation 232,IoT,Flame Sensor,Water Pump,Arduino,Flame Sensor|Water Pump|Arduino
Smart Lighting,automatic lighting control variation 233,IoT,Soil Sensor|LDR Sensor,Servo Motor,ESP8266,Soil Sensor|LDR Sensor|Servo Motor|ESP8266
Smart Farming,monitor agriculture conditions variation 234,IoT,Gas Sensor,None,Arduino,Gas Sensor|Arduino
Water Level Indicator,monitor water level in tank variation 235,IoT,Gas Sensor,None,ESP8266,Gas Sensor|ESP8266
Weather Monitoring,monitor temperature and humidity variation 236,IoT,Temperature Sensor|LDR Sensor,None,ESP32,Temperature Sensor|LDR Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 237,Robotics,Flame Sensor,None,ESP8266,Flame Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 238,Robotics,Gas Sensor|Temperature Sensor,None,Arduino,Gas Sensor|Temperature Sensor|Arduino
Weather Monitoring,monitor temperature and humidity variation 239,IoT,Temperature Sensor|Soil Sensor,Buzzer,Arduino,Temperature Sensor|Soil Sensor|Buzzer|Arduino
Smart Farming,monitor agriculture conditions variation 240,IoT,Temperature Sensor|Ultrasonic Sensor,None,Arduino,Temperature Sensor|Ultrasonic Sensor|Arduino
Smart Lighting,automatic lighting control variation 241,IoT,Flame Sensor,Buzzer,Arduino,Flame Sensor|Buzzer|Arduino
Smart Irrigation,automatic watering using soil moisture variation 242,IoT,Humidity Sensor|Motion Sensor,None,Arduino,Humidity Sensor|Motion Sensor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 243,Robotics,Humidity Sensor,None,Arduino,Humidity Sensor|Arduino
Smart Irrigation,automatic watering using soil moisture variation 244,IoT,Gas Sensor|Temperature Sensor,Relay,ESP32,Gas Sensor|Temperature Sensor|Relay|ESP32
Fire Detection,detect fire using flame sensor variation 245,IoT,Flame Sensor,Relay,ESP32,Flame Sensor|Relay|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 246,Robotics,Ultrasonic Sensor|Motion Sensor,LED,Arduino,Ultrasonic Sensor|Motion Sensor|LED|Arduino
Air Quality Monitoring,monitor pollution levels variation 247,IoT,Motion Sensor,Servo Motor,ESP32,Motion Sensor|Servo Motor|ESP32
Water Level Indicator,monitor water level in tank variation 248,IoT,Ultrasonic Sensor,None,ESP32,Ultrasonic Sensor|ESP32
Smart Irrigation,automatic watering using soil moisture variation 249,IoT,Soil Sensor,None,ESP8266,Soil Sensor|ESP8266
Air Quality Monitoring,monitor pollution levels variation 250,IoT,Ultrasonic Sensor,None,Arduino,Ultrasonic Sensor|Arduino
Air Quality Monitoring,monitor pollution levels variation 251,IoT,Humidity Sensor|Soil Sensor,Water Pump,Arduino,Humidity Sensor|Soil Sensor|Water Pump|Arduino
Smart Farming,monitor agriculture conditions variation 252,IoT,Temperature Sensor|Motion Sensor,Valve,ESP32,Temperature Sensor|Motion Sensor|Valve|ESP32
Fire Detection,detect fire using flame sensor variation 253,IoT,Flame Sensor,Relay,Arduino,Flame Sensor|Relay|Arduino
Smart Lighting,automatic lighting control variation 254,IoT,Motion Sensor|Ultrasonic Sensor,Valve,ESP32,Motion Sensor|Ultrasonic Sensor|Valve|ESP32
Smart Farming,monitor agriculture conditions variation 255,IoT,Motion Sensor|IR Sensor,Buzzer,ESP8266,Motion Sensor|IR Sensor|Buzzer|ESP8266
Home Automation,control home devices using wifi variation 256,IoT,Flame Sensor,LED,ESP32,Flame Sensor|LED|ESP32
Smart Farming,monitor agriculture conditions variation 257,IoT,Gas Sensor|Humidity Sensor,Water Pump,ESP8266,Gas Sensor|Humidity Sensor|Water Pump|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 258,Robotics,Soil Sensor,None,Arduino,Soil Sensor|Arduino
Air Quality Monitoring,monitor pollution levels variation 259,IoT,Humidity Sensor|Motion Sensor,Valve,Arduino,Humidity Sensor|Motion Sensor|Valve|Arduino
Smart Parking,detect parking availability variation 260,IoT,Motion Sensor|Flame Sensor,Relay,Arduino,Motion Sensor|Flame Sensor|Relay|Arduino
Smart Lighting,automatic lighting control variation 261,IoT,Soil Sensor|IR Sensor,None,ESP32,Soil Sensor|IR Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 262,Robotics,Soil Sensor,Servo Motor,ESP8266,Soil Sensor|Servo Motor|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 263,Robotics,Motion Sensor,Motor Driver,ESP32,Motion Sensor|Motor Driver|ESP32
Home Automation,control home devices using wifi variation 264,IoT,Ultrasonic Sensor|IR Sensor,None,Arduino,Ultrasonic Sensor|IR Sensor|Arduino
Home Automation,control home devices using wifi variation 265,IoT,Humidity Sensor,Valve,ESP8266,Humidity Sensor|Valve|ESP8266
Line Following Robot,robot follows path using IR sensors variation 266,Robotics,Gas Sensor|Humidity Sensor,LED,ESP8266,Gas Sensor|Humidity Sensor|LED|ESP8266
Weather Monitoring,monitor temperature and humidity variation 267,IoT,Temperature Sensor,Relay,ESP8266,Temperature Sensor|Relay|ESP8266
Water Level Indicator,monitor water level in tank variation 268,IoT,Soil Sensor,Water Pump,ESP32,Soil Sensor|Water Pump|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 269,Robotics,Motion Sensor,Relay,Arduino,Motion Sensor|Relay|Arduino
Smart Parking,detect parking availability variation 270,IoT,Motion Sensor,None,ESP8266,Motion Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 271,Robotics,Humidity Sensor,Servo Motor,ESP32,Humidity Sensor|Servo Motor|ESP32
Smart Farming,monitor agriculture conditions variation 272,IoT,Humidity Sensor,None,ESP8266,Humidity Sensor|ESP8266
Weather Monitoring,monitor temperature and humidity variation 273,IoT,Temperature Sensor,None,ESP8266,Temperature Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 274,IoT,LDR Sensor|Humidity Sensor,None,ESP32,LDR Sensor|Humidity Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 275,Robotics,Motion Sensor|Humidity Sensor,Water Pump,ESP32,Motion Sensor|Humidity Sensor|Water Pump|ESP32
Fire Detection,detect fire using flame sensor variation 276,IoT,IR Sensor,Servo Motor,ESP8266,IR Sensor|Servo Motor|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 277,Robotics,Gas Sensor,Buzzer,ESP8266,Gas Sensor|Buzzer|ESP8266
Line Following Robot,robot follows path using IR sensors variation 278,Robotics,Temperature Sensor|Gas Sensor,Motor Driver,ESP32,Temperature Sensor|Gas Sensor|Motor Driver|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 279,Robotics,LDR Sensor|Temperature Sensor,Valve,ESP32,LDR Sensor|Temperature Sensor|Valve|ESP32
Weather Monitoring,monitor temperature and humidity variation 280,IoT,Motion Sensor,Water Pump,Arduino,Motion Sensor|Water Pump|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 281,Robotics,Humidity Sensor,Valve,Arduino,Humidity Sensor|Valve|Arduino
Line Following Robot,robot follows path using IR sensors variation 282,Robotics,Ultrasonic Sensor,Servo Motor,ESP8266,Ultrasonic Sensor|Servo Motor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 283,IoT,Motion Sensor|Flame Sensor,Buzzer,ESP8266,Motion Sensor|Flame Sensor|Buzzer|ESP8266
Weather Monitoring,monitor temperature and humidity variation 284,IoT,Ultrasonic Sensor,None,Arduino,Ultrasonic Sensor|Arduino
Water Level Indicator,monitor water level in tank variation 285,IoT,Ultrasonic Sensor,LED,Arduino,Ultrasonic Sensor|LED|Arduino
Smart Security System,detect intruders using sensors variation 286,IoT,Gas Sensor,None,ESP8266,Gas Sensor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 287,IoT,Temperature Sensor|Gas Sensor,Water Pump,Arduino,Temperature Sensor|Gas Sensor|Water Pump|Arduino
Smart Lighting,automatic lighting control variation 288,IoT,Ultrasonic Sensor|IR Sensor,Motor Driver,ESP8266,Ultrasonic Sensor|IR Sensor|Motor Driver|ESP8266
Smart Farming,monitor agriculture conditions variation 289,IoT,Flame Sensor,None,ESP32,Flame Sensor|ESP32
Air Quality Monitoring,monitor pollution levels variation 290,IoT,Humidity Sensor,None,Arduino,Humidity Sensor|Arduino
Home Automation,control home devices using wifi variation 291,IoT,LDR Sensor|Soil Sensor,Water Pump,Arduino,LDR Sensor|Soil Sensor|Water Pump|Arduino
Smart Lighting,automatic lighting control variation 292,IoT,Soil Sensor|Temperature Sensor,None,ESP32,Soil Sensor|Temperature Sensor|ESP32
Smart Farming,monitor agriculture conditions variation 293,IoT,IR Sensor|Gas Sensor,Buzzer,ESP32,IR Sensor|Gas Sensor|Buzzer|ESP32
Smart Parking,detect parking availability variation 294,IoT,Gas Sensor,None,ESP32,Gas Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 295,Robotics,IR Sensor|Motion Sensor,Servo Motor,ESP8266,IR Sensor|Motion Sensor|Servo Motor|ESP8266
Smart Parking,detect parking availability variation 296,IoT,Ultrasonic Sensor,Relay,ESP32,Ultrasonic Sensor|Relay|ESP32
Smart Farming,monitor agriculture conditions variation 297,IoT,Temperature Sensor,None,ESP8266,Temperature Sensor|ESP8266
Weather Monitoring,monitor temperature and humidity variation 298,IoT,IR Sensor|Temperature Sensor,None,ESP8266,IR Sensor|Temperature Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 299,IoT,IR Sensor,Relay,Arduino,IR Sensor|Relay|Arduino
Smart Irrigation,automatic watering using soil moisture variation 300,IoT,Temperature Sensor|Soil Sensor,None,Arduino,Temperature Sensor|Soil Sensor|Arduino
Air Quality Monitoring,monitor pollution levels variation 301,IoT,Flame Sensor|LDR Sensor,Motor Driver,ESP32,Flame Sensor|LDR Sensor|Motor Driver|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 302,Robotics,Gas Sensor|Flame Sensor,None,ESP32,Gas Sensor|Flame Sensor|ESP32
Smart Farming,monitor agriculture conditions variation 303,IoT,Temperature Sensor,None,ESP8266,Temperature Sensor|ESP8266
Water Level Indicator,monitor water level in tank variation 304,IoT,Flame Sensor|Ultrasonic Sensor,None,ESP32,Flame Sensor|Ultrasonic Sensor|ESP32
Smart Security System,detect intruders using sensors variation 305,IoT,Motion Sensor|Flame Sensor,None,ESP8266,Motion Sensor|Flame Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 306,IoT,Humidity Sensor,None,ESP32,Humidity Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 307,IoT,IR Sensor|Humidity Sensor,None,Arduino,IR Sensor|Humidity Sensor|Arduino
Fire Detection,detect fire using flame sensor variation 308,IoT,Flame Sensor,None,ESP32,Flame Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 309,IoT,Flame Sensor|Humidity Sensor,Servo Motor,ESP8266,Flame Sensor|Humidity Sensor|Servo Motor|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 310,Robotics,Gas Sensor,None,ESP8266,Gas Sensor|ESP8266
Water Level Indicator,monitor water level in tank variation 311,IoT,LDR Sensor,None,ESP32,LDR Sensor|ESP32
Smart Parking,detect parking availability variation 312,IoT,Ultrasonic Sensor,None,ESP32,Ultrasonic Sensor|ESP32
Water Level Indicator,monitor water level in tank variation 313,IoT,IR Sensor,Motor Driver,Arduino,IR Sensor|Motor Driver|Arduino
Smart Irrigation,automatic watering using soil moisture variation 314,IoT,Ultrasonic Sensor,None,ESP8266,Ultrasonic Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 315,IoT,LDR Sensor|Motion Sensor,None,ESP8266,LDR Sensor|Motion Sensor|ESP8266
Smart Farming,monitor agriculture conditions variation 316,IoT,Temperature Sensor|LDR Sensor,Valve,Arduino,Temperature Sensor|LDR Sensor|Valve|Arduino
Water Level Indicator,monitor water level in tank variation 317,IoT,Temperature Sensor|Gas Sensor,Buzzer,Arduino,Temperature Sensor|Gas Sensor|Buzzer|Arduino
Smart Farming,monitor agriculture conditions variation 318,IoT,Motion Sensor,Motor Driver,Arduino,Motion Sensor|Motor Driver|Arduino
Water Level Indicator,monitor water level in tank variation 319,IoT,Humidity Sensor,Water Pump,Arduino,Humidity Sensor|Water Pump|Arduino
Smart Lighting,automatic lighting control variation 320,IoT,LDR Sensor|Humidity Sensor,Buzzer,Arduino,LDR Sensor|Humidity Sensor|Buzzer|Arduino
Weather Monitoring,monitor temperature and humidity variation 321,IoT,Soil Sensor|IR Sensor,Water Pump,Arduino,Soil Sensor|IR Sensor|Water Pump|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 322,Robotics,Soil Sensor|LDR Sensor,Relay,Arduino,Soil Sensor|LDR Sensor|Relay|Arduino
Fire Detection,detect fire using flame sensor variation 323,IoT,Motion Sensor,None,ESP8266,Motion Sensor|ESP8266
Smart Farming,monitor agriculture conditions variation 324,IoT,Gas Sensor,Buzzer,Arduino,Gas Sensor|Buzzer|Arduino
Smart Security System,detect intruders using sensors variation 325,IoT,Humidity Sensor,None,Arduino,Humidity Sensor|Arduino
Air Quality Monitoring,monitor pollution levels variation 326,IoT,IR Sensor,None,ESP32,IR Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 327,IoT,Ultrasonic Sensor,None,Arduino,Ultrasonic Sensor|Arduino
Smart Irrigation,automatic watering using soil moisture variation 328,IoT,Ultrasonic Sensor,Motor Driver,Arduino,Ultrasonic Sensor|Motor Driver|Arduino
Smart Security System,detect intruders using sensors variation 329,IoT,Gas Sensor|Ultrasonic Sensor,Motor Driver,ESP8266,Gas Sensor|Ultrasonic Sensor|Motor Driver|ESP8266
Weather Monitoring,monitor temperature and humidity variation 330,IoT,Humidity Sensor|Ultrasonic Sensor,Buzzer,ESP8266,Humidity Sensor|Ultrasonic Sensor|Buzzer|ESP8266
Water Level Indicator,monitor water level in tank variation 331,IoT,IR Sensor,Servo Motor,ESP32,IR Sensor|Servo Motor|ESP32
Smart Farming,monitor agriculture conditions variation 332,IoT,IR Sensor|Flame Sensor,None,Arduino,IR Sensor|Flame Sensor|Arduino
Line Following Robot,robot follows path using IR sensors variation 333,Robotics,Ultrasonic Sensor,Relay,Arduino,Ultrasonic Sensor|Relay|Arduino
Smart Lighting,automatic lighting control variation 334,IoT,Temperature Sensor|Flame Sensor,None,Arduino,Temperature Sensor|Flame Sensor|Arduino
Water Level Indicator,monitor water level in tank variation 335,IoT,Ultrasonic Sensor|Humidity Sensor,None,ESP32,Ultrasonic Sensor|Humidity Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 336,IoT,Ultrasonic Sensor,LED,ESP32,Ultrasonic Sensor|LED|ESP32
Air Quality Monitoring,monitor pollution levels variation 337,IoT,LDR Sensor,Valve,ESP32,LDR Sensor|Valve|ESP32
Air Quality Monitoring,monitor pollution levels variation 338,IoT,Motion Sensor,Valve,ESP32,Motion Sensor|Valve|ESP32
Home Automation,control home devices using wifi variation 339,IoT,Motion Sensor|Soil Sensor,None,ESP32,Motion Sensor|Soil Sensor|ESP32
Smart Farming,monitor agriculture conditions variation 340,IoT,Humidity Sensor,None,ESP8266,Humidity Sensor|ESP8266
Smart Farming,monitor agriculture conditions variation 341,IoT,Humidity Sensor,Buzzer,ESP8266,Humidity Sensor|Buzzer|ESP8266
Weather Monitoring,monitor temperature and humidity variation 342,IoT,Humidity Sensor,None,ESP32,Humidity Sensor|ESP32
Home Automation,control home devices using wifi variation 343,IoT,Gas Sensor|IR Sensor,None,ESP8266,Gas Sensor|IR Sensor|ESP8266
Water Level Indicator,monitor water level in tank variation 344,IoT,Flame Sensor|Temperature Sensor,None,Arduino,Flame Sensor|Temperature Sensor|Arduino
Fire Detection,detect fire using flame sensor variation 345,IoT,Flame Sensor,Relay,ESP8266,Flame Sensor|Relay|ESP8266
Smart Parking,detect parking availability variation 346,IoT,Humidity Sensor|LDR Sensor,None,ESP8266,Humidity Sensor|LDR Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 347,Robotics,Soil Sensor,LED,Arduino,Soil Sensor|LED|Arduino
Smart Farming,monitor agriculture conditions variation 348,IoT,Motion Sensor,None,ESP32,Motion Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 349,IoT,Temperature Sensor,Water Pump,ESP8266,Temperature Sensor|Water Pump|ESP8266
Smart Lighting,automatic lighting control variation 350,IoT,Soil Sensor|Temperature Sensor,None,ESP32,Soil Sensor|Temperature Sensor|ESP32
Line Following Robot,robot follows path using IR sensors variation 351,Robotics,Motion Sensor,None,ESP8266,Motion Sensor|ESP8266
Smart Parking,detect parking availability variation 352,IoT,Gas Sensor|Humidity Sensor,None,ESP8266,Gas Sensor|Humidity Sensor|ESP8266
Smart Lighting,automatic lighting control variation 353,IoT,Motion Sensor|IR Sensor,None,ESP8266,Motion Sensor|IR Sensor|ESP8266
Weather Monitoring,monitor temperature and humidity variation 354,IoT,Soil Sensor,None,Arduino,Soil Sensor|Arduino
Weather Monitoring,monitor temperature and humidity variation 355,IoT,Humidity Sensor,None,ESP32,Humidity Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 356,Robotics,Humidity Sensor|Motion Sensor,Valve,ESP32,Humidity Sensor|Motion Sensor|Valve|ESP32
Smart Irrigation,automatic watering using soil moisture variation 357,IoT,Motion Sensor|Soil Sensor,None,ESP32,Motion Sensor|Soil Sensor|ESP32
Smart Irrigation,automatic watering using soil moisture variation 358,IoT,Ultrasonic Sensor|Gas Sensor,None,Arduino,Ultrasonic Sensor|Gas Sensor|Arduino
Water Level Indicator,monitor water level in tank variation 359,IoT,Flame Sensor|Soil Sensor,Water Pump,ESP8266,Flame Sensor|Soil Sensor|Water Pump|ESP8266
Line Following Robot,robot follows path using IR sensors variation 360,Robotics,Ultrasonic Sensor|Temperature Sensor,LED,Arduino,Ultrasonic Sensor|Temperature Sensor|LED|Arduino
Smart Lighting,automatic lighting control variation 361,IoT,Gas Sensor,Buzzer,Arduino,Gas Sensor|Buzzer|Arduino
Smart Lighting,automatic lighting control variation 362,IoT,LDR Sensor|Soil Sensor,Servo Motor,Arduino,LDR Sensor|Soil Sensor|Servo Motor|Arduino
Home Automation,control home devices using wifi variation 363,IoT,Motion Sensor,LED,ESP8266,Motion Sensor|LED|ESP8266
Smart Parking,detect parking availability variation 364,IoT,IR Sensor|Temperature Sensor,Valve,ESP8266,IR Sensor|Temperature Sensor|Valve|ESP8266
Water Level Indicator,monitor water level in tank variation 365,IoT,Humidity Sensor|Soil Sensor,None,ESP8266,Humidity Sensor|Soil Sensor|ESP8266
Smart Parking,detect parking availability variation 366,IoT,LDR Sensor,Motor Driver,Arduino,LDR Sensor|Motor Driver|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 367,Robotics,Humidity Sensor,Buzzer,ESP32,Humidity Sensor|Buzzer|ESP32
Smart Farming,monitor agriculture conditions variation 368,IoT,Gas Sensor,Relay,ESP8266,Gas Sensor|Relay|ESP8266
Fire Detection,detect fire using flame sensor variation 369,IoT,IR Sensor|Flame Sensor,Buzzer,Arduino,IR Sensor|Flame Sensor|Buzzer|Arduino
Smart Irrigation,automatic watering using soil moisture variation 370,IoT,Humidity Sensor|Gas Sensor,None,ESP32,Humidity Sensor|Gas Sensor|ESP32
Smart Parking,detect parking availability variation 371,IoT,Motion Sensor|Ultrasonic Sensor,None,ESP8266,Motion Sensor|Ultrasonic Sensor|ESP8266
Home Automation,control home devices using wifi variation 372,IoT,Ultrasonic Sensor|IR Sensor,None,ESP8266,Ultrasonic Sensor|IR Sensor|ESP8266
Weather Monitoring,monitor temperature and humidity variation 373,IoT,Ultrasonic Sensor,None,Arduino,Ultrasonic Sensor|Arduino
Home Automation,control home devices using wifi variation 374,IoT,LDR Sensor,None,ESP8266,LDR Sensor|ESP8266
Smart Lighting,automatic lighting control variation 375,IoT,LDR Sensor,None,ESP8266,LDR Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 376,IoT,Gas Sensor|Humidity Sensor,Water Pump,Arduino,Gas Sensor|Humidity Sensor|Water Pump|Arduino
Water Level Indicator,monitor water level in tank variation 377,IoT,IR Sensor,None,ESP32,IR Sensor|ESP32
Smart Lighting,automatic lighting control variation 378,IoT,IR Sensor|Soil Sensor,Motor Driver,Arduino,IR Sensor|Soil Sensor|Motor Driver|Arduino
Weather Monitoring,monitor temperature and humidity variation 379,IoT,Gas Sensor|Temperature Sensor,None,ESP8266,Gas Sensor|Temperature Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 380,IoT,Gas Sensor,None,Arduino,Gas Sensor|Arduino
Smart Security System,detect intruders using sensors variation 381,IoT,IR Sensor|Ultrasonic Sensor,Water Pump,ESP8266,IR Sensor|Ultrasonic Sensor|Water Pump|ESP8266
Smart Lighting,automatic lighting control variation 382,IoT,Gas Sensor|Temperature Sensor,None,ESP32,Gas Sensor|Temperature Sensor|ESP32
Smart Security System,detect intruders using sensors variation 383,IoT,IR Sensor|Temperature Sensor,Servo Motor,ESP32,IR Sensor|Temperature Sensor|Servo Motor|ESP32
Water Level Indicator,monitor water level in tank variation 384,IoT,Soil Sensor|Humidity Sensor,Motor Driver,Arduino,Soil Sensor|Humidity Sensor|Motor Driver|Arduino
Weather Monitoring,monitor temperature and humidity variation 385,IoT,IR Sensor,Buzzer,ESP32,IR Sensor|Buzzer|ESP32
Smart Parking,detect parking availability variation 386,IoT,IR Sensor|Motion Sensor,None,ESP32,IR Sensor|Motion Sensor|ESP32
Smart Lighting,automatic lighting control variation 387,IoT,Ultrasonic Sensor|Flame Sensor,None,ESP32,Ultrasonic Sensor|Flame Sensor|ESP32
Water Level Indicator,monitor water level in tank variation 388,IoT,Ultrasonic Sensor,None,ESP8266,Ultrasonic Sensor|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 389,Robotics,Soil Sensor|Motion Sensor,Servo Motor,Arduino,Soil Sensor|Motion Sensor|Servo Motor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 390,Robotics,Ultrasonic Sensor|IR Sensor,LED,Arduino,Ultrasonic Sensor|IR Sensor|LED|Arduino
Smart Security System,detect intruders using sensors variation 391,IoT,Motion Sensor|Flame Sensor,Motor Driver,ESP32,Motion Sensor|Flame Sensor|Motor Driver|ESP32
Fire Detection,detect fire using flame sensor variation 392,IoT,LDR Sensor,Buzzer,Arduino,LDR Sensor|Buzzer|Arduino
Weather Monitoring,monitor temperature and humidity variation 393,IoT,Soil Sensor,LED,ESP32,Soil Sensor|LED|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 394,Robotics,Motion Sensor,Buzzer,ESP8266,Motion Sensor|Buzzer|ESP8266
Home Automation,control home devices using wifi variation 395,IoT,Humidity Sensor|IR Sensor,Valve,Arduino,Humidity Sensor|IR Sensor|Valve|Arduino
Weather Monitoring,monitor temperature and humidity variation 396,IoT,Ultrasonic Sensor|LDR Sensor,None,Arduino,Ultrasonic Sensor|LDR Sensor|Arduino
Fire Detection,detect fire using flame sensor variation 397,IoT,Soil Sensor|Flame Sensor,Servo Motor,Arduino,Soil Sensor|Flame Sensor|Servo Motor|Arduino
Line Following Robot,robot follows path using IR sensors variation 398,Robotics,Temperature Sensor,None,ESP32,Temperature Sensor|ESP32
Smart Lighting,automatic lighting control variation 399,IoT,Soil Sensor,Motor Driver,ESP32,Soil Sensor|Motor Driver|ESP32
Air Quality Monitoring,monitor pollution levels variation 400,IoT,Humidity Sensor|LDR Sensor,Valve,ESP32,Humidity Sensor|LDR Sensor|Valve|ESP32
